direction,duration,trigger,stim_type,grating_freq,corr_ans,resp.rt,resp.keys,resp.corr,t0,a,lambda
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.48,14.0,oddball,5.0,j,None,None,0.0,0.012,1.1,17
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.24,12.0,oddball,5.0,j,0.6311378004029393,j,1.0,0.012,1.1,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.36,13.0,oddball,5.0,j,0.5036478000693023,j,1.0,0.012,1.1,15
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.72,16.0,oddball,5.0,j,1.1077371002174914,j,1.0,0.012,1.1,20
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
increment,0.84,17.0,oddball,5.0,j,None,None,0.0,0.012,1.1,22
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.012,1.1,19
