direction,duration,trigger,stim_type,grating_freq,corr_ans,resp.rt,resp.keys,resp.corr,t0,a,lambda
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.24,22.0,oddball,10.0,j,0.7368964000197593,j,1.0,0.011,1.07,14
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.48,24.0,oddball,10.0,j,None,None,0.0,0.011,1.07,21
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
decrement,0.6,21.0,standard,10.0,None,0.8312134000007063,j,0.0,0.011,1.07,23
decrement,0.36,23.0,oddball,10.0,j,0.7127329999930225,j,1.0,0.011,1.07,18
increment,0.6,25.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
increment,0.6,25.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
increment,0.6,25.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
increment,0.6,25.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
increment,0.6,25.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
increment,0.6,25.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
increment,0.6,25.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
increment,0.6,25.0,standard,10.0,None,None,None,1.0,0.011,1.07,23
