direction,duration,trigger,stim_type,grating_freq,corr_ans,resp.rt,resp.keys,resp.corr,t0,a,lambda
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.24,12.0,oddball,5.0,j,0.6322578997351229,j,1.0,0.011,1.25,8
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.48,14.0,oddball,5.0,j,0.9561244999058544,j,1.0,0.011,1.25,11
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,1.357728399801999,j,0.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.36,13.0,oddball,5.0,j,0.5151478000916541,j,1.0,0.011,1.25,10
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.72,16.0,oddball,5.0,j,None,None,0.0,0.011,1.25,13
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,0.7266573999077082,j,0.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.96,18.0,oddball,5.0,j,0.4090050999075174,j,1.0,0.011,1.25,14
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.84,17.0,oddball,5.0,j,0.7249011998064816,j,1.0,0.011,1.25,13
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.24,12.0,oddball,5.0,j,0.5239752000197768,j,1.0,0.011,1.25,8
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,0.6307687996886671,j,0.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.36,13.0,oddball,5.0,j,1.0466988999396565,j,1.0,0.011,1.25,10
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.48,14.0,oddball,5.0,j,None,None,0.0,0.011,1.25,11
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
decrement,0.6,11.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.72,16.0,oddball,5.0,j,None,None,0.0,0.011,1.25,13
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,0.8143688999116421,j,0.0,0.011,1.25,12
increment,0.6,15.0,standard,5.0,None,None,None,1.0,0.011,1.25,12
