grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_text.stopped,b_instruct_text_2_.started,b_instruct_text_2_.stopped,prac_done_text.started,prac_done_text.stopped,instruct_text.started,instruct_text.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,blank.started,blank.stopped,resp.keys,resp.corr,resp.started,resp.stopped,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_text.stopped,text_2.started,text_2.stopped,thx_txt.started,thx_txt.stopped,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
20,,,,,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,32.954450599849224,None,44.45811039954424,None,47.661627599969506,None,74.20779810007662,None,77.4867409998551,None,78.24055599980056,78.85397140029818,78.80448739975691,80.80497319996357,None,1,0.6132762292400002,2.6137593295425177,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,80.82139430008829,None,81.45485480036587,82.05531019996852,82.03882759995759,84.03905539959669,None,1,0.6134367305785418,2.613573230803013,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,84.05602269992232,None,84.73980029951781,85.3395972000435,85.32283660024405,87.32448679953814,None,1,0.6123638302087784,2.614114330150187,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,87.34065460041165,None,87.87427989952266,88.47415779996663,88.45770240016282,90.45866999961436,None,1,0.612130131572485,2.613192630931735,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,90.47741139959544,None,91.2090980000794,91.8087379001081,91.79219369962811,93.79302040021867,None,1,0.6119606290012598,2.612835329025984,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,93.80949939973652,None,94.42655589990318,95.02717429958284,95.00997770018876,97.01065109949559,None,1,0.6119118304923177,2.6125462306663394,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,97.02765559963882,None,97.64444960001856,98.24472089949995,98.22792419977486,100.22862039972097,None,1,0.6115731289610267,2.612254829145968,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,100.24521919991821,None,100.82888900022954,101.42925389949232,101.41282359976321,103.41317349951714,None,1,0.6142661292105913,2.6145286299288273,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,103.42988820001483,None,104.09683240018785,104.69692029990256,104.68044249992818,106.68139680009335,None,1,0.6097706304863095,2.6107864305377007,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,106.69779410026968,None,107.34812930040061,107.71470289956778,107.6814446002245,109.68200279958546,j,1,0.36301992926746607,2.36355122923851,decreament,0.36,43,oddball,j,60,0.4621597006917,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
20,,,,,0,0,0,3,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,109.69882879965007,None,110.40000739973038,110.9992532003671,110.98304419964552,112.98381729982793,None,1,0.6127118309959769,2.6134928315877914,decreament,0.6,41,standard,None,100,,,,,,,,f,27,226,fr,r,0,raw,2022-06-28_11h08.25.497,oddball,2022.1.2,60.01493177282926,
