grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_resp.started,b_instruct_text_2_.started,b_instruct_resp_2_.started,prac_done_text.started,prac_done_resp.started,instruct_text.started,instruct_resp.started,fixation.started,fixation.stopped,grating.started,blank.started,grating.stopped,resp.started,blank.stopped,resp.stopped,resp.keys,resp.corr,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_resp.started,text_2.started,text_2.stopped,thx_txt.started,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
5,,,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,24.609979400000157,24.609979400000157,62.27307470000005,62.27307470000005,71.24918680000019,71.24918680000019,99.64812780000011,99.64812780000011,104.82144860000017,105.37096740000015,105.37096740000015,105.95389139999997,105.97042730000021,0.6155217000000448,107.96873770000002,2.630355900000268,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,107.98559949999981,108.60179449999987,108.60179449999987,109.20120150000002,109.20120150000002,0.5990248000002794,111.21623259999978,2.6139924000003703,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,111.21623259999978,111.93232089999992,111.93232089999992,112.53180299999985,112.53180299999985,0.6154555000002802,114.5467305000002,2.6303705000000264,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,114.56330190000017,115.29618979999987,115.29618979999987,115.89551459999984,115.89551459999984,0.615304400000241,117.91051620000007,2.6302945000002182,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,117.9273720000001,118.66003009999986,118.66003009999986,119.25940600000013,119.25940600000013,0.5990630000001147,121.27448529999992,2.6140158000002884,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,121.27448529999992,121.94081069999993,121.94081069999993,122.5401726,122.5401726,0.615317999999661,124.55538650000017,2.6305380999997396,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,124.57204860000002,125.18794459999981,125.18794459999981,125.78764760000013,125.78764760000013,0.6156859999996414,127.80255429999988,2.6305748999998286,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,127.81925469999987,128.5020241000002,128.5020241000002,129.10149009999986,129.10149009999986,0.5991712999998526,131.11657779999996,2.6138200000000325,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,131.11657779999996,131.8159037999999,131.8159037999999,132.41536129999986,132.41536129999986,0.6154041999998299,134.43035469999995,2.6303877000000284,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,134.4471781000002,135.16305160000002,135.16305160000002,135.7626409999998,135.7626409999998,0.6155631000001449,137.77752359999977,2.630415200000243,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,137.79421730000013,138.4102644999998,138.4102644999998,139.00992029999998,139.00992029999998,0.6154449999999088,141.02491580000014,2.6304669000001013,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,141.04144959999985,141.7077731999998,141.7077731999998,142.30721219999987,142.30721219999987,0.6155457999998362,144.32220000000007,2.6305324999998447,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,144.3387759000002,145.0217978999999,145.0217978999999,145.85415509999984,145.87093989999994,0.8483530000003157,147.8693085,2.8634931000001416,j,1,increament,0.84,17,oddball,j,140,1.166998500000318,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,147.88576740000008,148.50218889999996,148.50218889999996,149.1017179999999,149.1017179999999,0.6155598999998801,151.11669979999988,2.630517499999769,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,151.13322049999988,151.78259470000012,151.78259470000012,152.3821455000002,152.3821455000002,0.6154108999999153,154.39709249999987,2.630363899999793,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,154.41390050000018,154.99673859999984,154.99673859999984,155.59635389999994,155.59635389999994,0.6157749000003605,157.6114093000001,2.6308303000000706,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,157.6278572000001,158.52711219999992,158.52711219999992,159.12667659999988,159.12667659999988,0.6155478999999104,161.14158689999977,2.63044280000031,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,161.15820500000018,161.69126830000005,161.69126830000005,162.29067329999998,162.29067329999998,0.5990262000000257,164.30604099999982,2.6142939999999726,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,164.30604099999982,164.8886647999998,164.8886647999998,165.4881694999999,165.4881694999999,0.6154273000001922,167.50309070000003,2.630328300000201,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,167.51964390000012,168.21911210000007,168.21911210000007,168.8185954999999,168.8185954999999,0.615354600000046,170.83361560000003,2.63037149999991,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,170.85034640000003,171.46632009999985,171.46632009999985,172.06593190000012,172.06593190000012,0.6154145000000426,174.0808677,2.630324499999915,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,174.0976581,174.79721370000016,174.79721370000016,175.3965803000001,175.3965803000001,0.6154398000003312,177.41143680000005,2.6302654000000985,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,177.42805839999983,177.9445225999998,177.9445225999998,178.54406629999994,178.54406629999994,0.6156268999998247,180.5588889999999,2.6305053999999473,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,180.5756252000001,181.1750519000002,181.1750519000002,181.89131050000015,181.9077559000002,0.7322402000004331,183.90612650000003,2.7470608000003267,None,0,increament,0.72,16,oddball,j,120,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,183.92295259999992,184.5723241999999,184.5723241999999,185.1718160999999,185.1718160999999,0.6152143999997861,187.1868854999998,2.6302820000000793,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,187.20352920000005,187.8528468999998,187.8528468999998,188.45238370000015,188.45238370000015,0.5990477000000283,190.46739389999993,2.6137109999999666,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,190.46739389999993,190.9836381,190.9836381,191.5832661999998,191.5832661999998,0.6156728999999359,193.59811249999984,2.630488499999956,None,1,increament,0.6,15,standard,None,100,,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
5,,,,,0,0,0,1,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,193.61480440000014,194.2144598,194.2144598,195.1635452999999,195.18021510000017,0.9654657000000952,197.17865549999988,2.9805512000002636,j,1,increament,0.96,18,oddball,j,160,0.8429772999998022,,,,,,f,28,240,fr,r,0,prac,2023-05-15_09h11.36.018,oddball,2022.2.5,60.04383199734296,
