names,coef,se,T,pval,r2,adj_r2,CI[2.5%],CI[97.5%]
Intercept,19.563,0.293,66.838,0.0,0.158,0.101,18.984,20.142
chan_0_exponent1,3.906,1.417,2.757,0.007,0.158,0.101,1.104,6.708
chan_0_alpha1,3.989,1.446,2.759,0.007,0.158,0.101,1.13,6.849
chan_3_alpha0,0.038,0.309,0.124,0.901,0.158,0.101,-0.573,0.649
chan_4_alpha1,-3.719,1.13,-3.292,0.001,0.158,0.101,-5.953,-1.484
chan_13_exponent0,1.358,2.064,0.658,0.512,0.158,0.101,-2.724,5.44
chan_14_exponent1,-2.542,1.788,-1.422,0.157,0.158,0.101,-6.078,0.995
chan_14_alpha1,-2.174,1.127,-1.929,0.056,0.158,0.101,-4.404,0.056
chan_18_alpha0,0.305,0.389,0.785,0.434,0.158,0.101,-0.464,1.074
chan_29_alpha0,0.339,0.298,1.136,0.258,0.158,0.101,-0.251,0.929
