names,coef,se,T,pval,r2,adj_r2,CI[2.5%],CI[97.5%]
Intercept,19.499,0.293,66.581,0.0,0.17,0.126,18.92,20.079
chan_0_exponent1,2.965,1.477,2.008,0.047,0.17,0.126,0.044,5.886
chan_0_alpha1,4.797,1.443,3.325,0.001,0.17,0.126,1.943,7.651
chan_4_alpha1,-4.744,1.266,-3.746,0.0,0.17,0.126,-7.249,-2.239
chan_14_exponent1,-1.819,1.788,-1.017,0.311,0.17,0.126,-5.355,1.718
chan_14_alpha1,-2.936,1.263,-2.326,0.022,0.17,0.126,-5.434,-0.439
chan_18_alpha0,0.516,0.374,1.379,0.17,0.17,0.126,-0.224,1.255
chan_29_alpha0,0.412,0.302,1.363,0.175,0.17,0.126,-0.186,1.009
