,nonadapt,adapt,novel
0,None,None,None
1,None,None,None
2,None,None,None
3,None,None,None
4,None,None,None
5,None,None,None
6,None,None,None
7,j,None,j
8,None,None,j
9,None,None,j
10,None,None,j
11,None,None,j
12,None,None,None
13,None,None,None
14,None,None,None
15,None,None,None
16,None,None,None
17,j,None,j
18,None,None,None
19,None,None,None
20,None,None,None
21,None,None,j
22,None,None,None
23,None,None,None
24,None,None,None
25,None,None,None
26,None,None,j
27,None,None,None
28,None,None,None
29,None,None,None
30,None,None,None
31,None,None,j
32,None,None,None
33,None,None,None
34,None,None,j
35,None,None,j
36,None,None,None
37,None,None,None
38,None,j,None
39,None,None,j
40,None,None,None
41,None,None,None
42,None,None,None
43,None,None,None
44,None,None,None
45,j,None,None
46,j,None,j
47,None,None,None
48,None,None,None
49,None,None,j
50,None,None,None
51,None,None,None
52,None,None,None
53,None,None,None
54,None,None,None
55,None,None,None
56,None,None,None
57,None,None,None
58,None,None,None
59,None,None,None
60,None,None,None
61,None,None,None
62,None,None,None
63,None,None,None
64,None,None,j
65,None,None,None
66,None,None,None
67,None,None,None
68,None,None,None
69,None,None,None
70,None,None,None
71,None,None,None
72,None,None,None
73,None,None,None
74,None,None,j
75,None,None,None
76,None,None,j
77,None,None,None
78,j,None,None
79,None,None,j
80,j,j,None
81,None,None,None
82,None,None,None
83,j,None,None
84,j,j,j
85,None,None,j
86,None,None,j
87,None,None,None
88,None,None,None
89,None,j,j
90,None,None,None
91,None,None,j
92,None,None,None
93,None,None,None
94,None,None,None
95,None,None,None
96,None,None,None
97,None,None,None
98,None,None,None
99,None,None,None
100,j,None,None
101,None,None,None
102,None,None,None
103,None,None,None
104,None,None,None
105,j,None,None
106,None,None,j
107,None,None,j
108,None,None,None
109,j,None,j
110,None,None,None
111,None,None,None
112,None,None,None
113,None,None,None
114,None,None,None
115,None,None,None
116,None,None,None
117,None,None,None
118,None,None,None
119,None,j,j
120,None,None,None
121,j,j,None
122,None,None,j
123,None,None,None
124,None,None,None
125,None,None,None
126,None,None,None
127,None,None,None
128,None,None,None
129,None,None,None
130,None,None,None
131,j,j,j
132,None,j,None
133,None,None,None
134,None,None,None
135,None,None,None
136,None,None,None
137,j,None,None
138,j,j,j
139,None,None,j
140,None,None,None
141,None,None,None
142,None,None,None
143,j,j,j
144,None,None,None
145,None,None,None
146,None,None,None
147,j,None,None
148,None,j,None
149,None,None,None
150,None,None,None
151,None,None,None
152,None,None,None
153,None,None,None
154,None,None,None
155,None,None,None
156,None,None,None
157,None,None,None
158,j,None,None
159,None,None,None
160,None,None,None
161,None,None,None
162,None,None,None
163,j,None,None
164,None,None,None
165,None,j,None
166,None,None,None
167,None,None,None
168,None,None,None
169,None,None,None
170,None,None,None
171,None,None,None
172,None,None,j
173,None,None,None
174,None,None,j
175,None,None,None
176,None,None,None
177,None,None,None
178,None,None,None
179,None,None,None
180,None,None,None
181,None,None,j
182,None,None,None
183,None,None,None
184,None,None,None
185,None,None,None
186,None,None,None
187,None,None,None
188,None,None,None
189,None,None,None
190,None,None,None
191,None,None,None
192,None,None,None
193,None,None,None
194,None,None,None
195,None,None,None
196,None,None,None
197,None,None,None
198,j,j,None
199,None,None,j
200,None,None,None
201,None,None,None
202,j,j,j
203,None,None,None
204,None,None,None
205,None,None,j
206,None,None,None
207,None,j,None
208,None,None,None
209,None,None,None
210,None,None,None
211,None,None,j
212,None,None,None
213,None,None,None
214,None,None,None
215,None,None,j
216,None,None,None
217,None,None,None
218,None,None,None
219,None,None,None
220,None,None,None
221,None,None,None
222,None,None,None
223,None,None,None
224,j,None,None
225,None,None,None
226,None,None,None
