grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_text.stopped,b_instruct_text_2_.started,b_instruct_text_2_.stopped,prac_done_text.started,prac_done_text.stopped,instruct_text.started,instruct_text.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,blank.started,blank.stopped,resp.keys,resp.corr,resp.started,resp.stopped,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_text.stopped,text_2.started,text_2.stopped,thx_txt.started,thx_txt.stopped,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
10,,,,,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,19.194348599994555,None,23.586815299931914,None,44.97963030007668,None,50.41804619994946,None,53.547502000117674,None,54.334200999932364,54.94834990007803,54.89840660011396,56.899110900005326,None,1,0.6132148997858167,2.61398209980689,decreament,0.6,21,standard,None,100,,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
10,,,,,0,0,0,2,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,56.91560130007565,None,57.682655200129375,58.28312180005014,58.266281800111756,60.26684890012257,None,1,0.6123684998601675,2.6128912998829037,decreament,0.6,21,standard,None,100,,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
10,,,,,0,0,0,2,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,60.283876300090924,None,60.93413949990645,61.533967500086874,61.51776079996489,63.51811770000495,None,1,0.6097512000706047,2.610113700153306,decreament,0.6,21,standard,None,100,,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
10,,,,,0,0,0,2,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,63.53507300000638,None,64.1849398999475,64.78522550011985,64.7687838000711,66.7694618999958,None,1,0.6139767998829484,2.6146609999705106,decreament,0.6,21,standard,None,100,,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
10,,,,,0,0,0,2,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,66.78628610004671,None,67.38641989999451,67.98633920005523,67.96976249990985,69.97036399994977,None,1,0.6113107001874596,2.6118764001876116,decreament,0.6,21,standard,None,100,,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
10,,,,,0,0,0,2,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,69.98721019993536,None,70.77120950003155,71.37091480009258,71.35467229993083,73.35537440003827,None,1,0.611385100055486,2.6121161999180913,decreament,0.6,21,standard,None,100,,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
10,,,,,0,0,0,2,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,73.37190570007078,None,74.02258160011843,74.622391999932,74.60640439996496,76.6068667001091,None,1,0.6130195998121053,2.613487900001928,decreament,0.6,21,standard,None,100,,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
10,,,,,0,0,0,2,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,76.62338360003196,None,77.22362209996209,77.82368719996884,77.8069140999578,79.80769610009156,None,1,0.609195200027898,2.609974999912083,decreament,0.6,21,standard,None,100,,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
10,,,,,0,0,0,2,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,79.82416810002178,None,80.57474200008437,81.17501899995841,81.15837229997851,83.1593087001238,None,1,0.6126719003077596,2.613640900235623,decreament,0.6,21,standard,None,100,,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
10,,,,,0,0,0,2,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,83.17710019997321,None,83.74243049998768,84.34263839991763,84.3260041999165,86.32696680002846,j,0,0.6129134001675993,2.6138967000879347,decreament,0.6,21,standard,None,100,0.6189747997559607,,,,,,,f,23,208,fr,r,0,raw,2022-05-20_11h09.40.043,oddball,2022.1.2,59.92265186588498,
