grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_resp.started,b_instruct_text_2_.started,b_instruct_resp_2_.started,prac_done_text.started,prac_done_resp.started,instruct_text.started,instruct_resp.started,fixation.started,fixation.stopped,grating.started,blank.started,grating.stopped,resp.started,blank.stopped,resp.stopped,resp.keys,resp.corr,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_resp.started,text_2.started,text_2.stopped,thx_txt.started,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
10,,,,,0,0,0,2,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,88.1052881999999,88.82129649999979,88.82129649999979,89.4209308999998,89.4209308999998,0.6153917999999976,91.4359116999999,2.630385199999637,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,91.45244169999978,92.1019454999996,92.1019454999996,92.70136919999959,92.70136919999959,0.615546699999868,94.71648939999977,2.630652199999986,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,94.73304389999976,95.36577709999983,95.36577709999983,95.96545419999984,95.96545419999984,0.6155336000001626,97.98039089999975,2.6306028000003607,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,97.9967929999998,98.64636689999998,98.64636689999998,98.99610459999985,99.01267899999993,0.36553890000004685,101.01112629999989,2.380569700000251,j,1,decreament,0.36,23,oddball,j,60,0.44395459999986997,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,101.02774669999962,101.57732569999962,101.57732569999962,102.17672449999964,102.17672449999964,0.6152228000000832,104.19173139999975,2.6302245000001676,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,104.20844339999985,104.9079256,104.9079256,105.50736959999995,105.50736959999995,0.6153466999999182,107.5223076999996,2.63028069999973,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,107.53899409999985,108.18827859999965,108.18827859999965,108.78769339999963,108.78769339999963,0.615220600000157,110.802866,2.6304002000001674,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,110.81956279999986,111.4022616999996,111.4022616999996,112.00179889999981,112.00179889999981,0.6155699999999342,114.01668039999959,2.630451500000163,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,114.03341789999968,114.69990989999997,114.69990989999997,115.28235939999968,115.2991522999996,0.5993573999999171,117.29737829999976,2.614361800000097,None,1,decreament,0.6,21,standard,None,100,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
10,,,,,0,0,0,2,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,117.3140641,117.96356799999967,117.96356799999967,118.42961229999992,118.44641069999989,0.4820926000002146,120.44466509999984,2.497164899999916,None,0,decreament,0.48,24,oddball,j,80,,,,,,,m,35,235,fr,r,0,raw,2023-04-13_08h56.58.722,oddball,2022.2.5,59.96210395029002,
