grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_resp.started,b_instruct_text_2_.started,b_instruct_resp_2_.started,prac_done_text.started,prac_done_resp.started,instruct_text.started,instruct_resp.started,fixation.started,fixation.stopped,grating.started,blank.started,resp.started,grating.stopped,blank.stopped,resp.stopped,resp.keys,resp.corr,direction,duration,trigger,stim_type,corr_ans,scaling,resp.rt,rest_text.started,rest_resp.started,text_2.started,text_2.stopped,thx_txt.started,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
20,,,,,0,0,0,3,8,0,8,0,20,0,20,0,,,,,,,,,,,,,,,,,1238.8092113999883,1239.4584172000177,1239.4584172000177,1240.0578176000272,0.615376700006891,1240.0578176000272,1242.072518400033,2.6300362000474706,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,8,0,8,0,21,0,21,0,,,,,,,,,,,,,,,,,1242.0895956000313,1242.6891029999824,1242.6891029999824,1243.4052631999948,0.731759799993597,1243.4216139999917,1245.4200514000258,2.7465310999541543,None,0,increament,0.72,46,oddball,j,120,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,8,0,8,0,22,0,22,0,,,,,,,,,,,,,,,,,1245.4368205000064,1246.019392999995,1246.019392999995,1246.6192383000161,0.6149291000328958,1246.6192383000161,1248.6337517999928,2.62945230002515,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,8,0,8,0,23,0,23,0,,,,,,,,,,,,,,,,,1248.6504811000195,1249.250479099981,1249.250479099981,1249.8497655999963,0.6153923000092618,1249.8497655999963,1251.864938099985,2.6306002999772318,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,8,0,8,0,24,0,24,0,,,,,,,,,,,,,,,,,1251.8813488000305,1252.4308625999838,1252.4308625999838,1253.0307896999875,0.6157296000164934,1253.0307896999875,1255.045602200029,2.6305093999835663,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,8,0,8,0,25,0,25,0,,,,,,,,,,,,,,,,,1255.0622105000075,1255.7113198000006,1255.7113198000006,1256.3110413000104,0.6152197999763303,1256.3110413000104,1258.3258691999945,2.6299201999790967,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,8,0,8,0,26,0,26,0,,,,,,,,,,,,,,,,,1258.3426176999928,1258.9086632999824,1258.9086632999824,1259.5085873000207,0.6157682000193745,1259.5085873000207,1261.5234593999921,2.630567600019276,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,8,0,8,0,27,0,27,0,,,,,,,,,,,,,,,,,1261.540098700032,1262.1727227999945,1262.1727227999945,1262.7557158999844,0.6155077999574132,1262.7723135999986,1264.7705606999807,2.630757100007031,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,8,0,8,0,28,0,28,0,,,,,,,,,,,,,,,,,1264.80391409999,1265.3872998000006,1265.3872998000006,1265.9863244000007,0.6150283999741077,1265.9863244000007,1268.0013165000128,2.630001200013794,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
20,,,,,0,0,0,3,8,0,8,0,29,0,29,0,,,,,,,,,,,,,,,,,1268.0185689000064,1268.667674300028,1268.667674300028,1269.2669481000048,0.6146154999732971,1269.2669481000048,1271.2824832000188,2.630159199994523,None,1,increament,0.6,45,standard,None,100,,,,,,,f,21,236,fr,r,0,raw,2023-04-17_09h27.50.228,oddball,2022.2.5,60.098501424270474,
