r2_pm,p_pm,r2_pl,p_pl,feat,channel,feature
8.128820387920399e-07,0.9909721149689239,4.890802307133679e-05,0.9300609853967723,chan_0_exponent1,Fp1,AP_e
0.027480727371446467,0.03617464661105449,0.03631942619063844,0.015783261989313575,chan_18_exponent1,P8,AP_e
0.003028158481191978,0.48948355231947926,0.0027573347112235247,0.5096028258909581,chan_14_exponent1,O1,AP_e
0.005792177554426514,0.33881071300625876,0.01127127283081586,0.1814973957889289,chan_11_exponent1,Pz,AP_e
1.4773249588762027e-05,0.9615273002896013,0.00010338722731861871,0.898457305298201,chan_0_exponent0,Fp1,AP_o
0.002600968776739876,0.5218737928373269,0.002309080632367566,0.5462364344277748,chan_16_exponent0,O2,AP_o
0.0026114528203760035,0.5210349603859022,0.0028291244443490182,0.5041349375140829,chan_13_exponent0,P7,AP_o
2.3732268398801715e-05,0.9512490427178408,0.00010295500784984757,0.8986686453643786,chan_18_alpha0,P8,α_f
0.004925946884785315,0.38087290220341796,0.001901191571831995,0.5864526323686996,chan_17_alpha0,P4,α_f
0.007747101421522018,0.2699205190161475,0.013418900024057101,0.14592935463007717,chan_16_alpha0,O2,α_f
0.005842170925344448,0.3413729470230291,0.00583759884624746,0.34156248521202026,chan_13_alpha0,P7,α_f
0.0022014554691432986,0.5608133462175621,0.0002613770917465619,0.8412327789249381,chan_3_alpha0,F7,α_f
7.034243115333627e-05,0.9169698806899924,0.0017498096225774251,0.602940332991202,chan_0_alpha0,Fp1,α_f
0.0007436618379285109,0.7345895957102009,0.00040217421847743573,0.8031314352026283,chan_29_alpha0,Fp2,α_f
0.006108715355279459,0.32591033931928026,0.010362293258728394,0.20024470195610378,chan_18_alpha1,P8,α_pw
0.015203287902117335,0.12392747798157998,0.01934204811978457,0.0823623977050492,chan_13_alpha1,P7,α_pw
0.009444842532073672,0.22595025992900966,0.010893588316210678,0.19329704813161286,chan_14_alpha1,O1,α_pw
0.00020498090126630508,0.8578456910264354,7.947952795239743e-06,0.9718656544624986,chan_1_alpha1,Fz,α_pw
3.0083083871756955e-06,0.982688856045074,9.436703577447858e-06,0.9693449072561422,chan_16_alpha1,O2,α_pw
0.0008903676918249337,0.7106547587742196,0.0013873114909150885,0.643270996026704,chan_0_alpha1,Fp1,α_pw
0.009970932650316455,0.2133935338608962,0.004147631502421589,0.42293485452291624,chan_4_alpha1,FT9,α_pw
0.005845958196456724,0.33657170121060176,0.0014860515612497016,0.6284060512391796,chan_3_beta0,F7,β_f
0.007779020059416553,0.2674080750902345,0.004756634720549213,0.38617178431665744,chan_0_beta0,Fp1,β_f
