names,coef,se,T,pval,r2,adj_r2,CI[2.5%],CI[97.5%]
Intercept,19.561,0.257,76.053,0.0,0.18,0.144,19.053,20.07
chan_0_exponent1,4.068,1.36,2.992,0.003,0.18,0.144,1.379,6.756
chan_0_alpha1,4.609,1.286,3.585,0.0,0.18,0.144,2.067,7.151
chan_4_alpha1,-4.075,1.061,-3.84,0.0,0.18,0.144,-6.174,-1.977
chan_14_exponent1,-3.12,1.639,-1.904,0.059,0.18,0.144,-6.361,0.121
chan_14_alpha1,-2.433,1.081,-2.251,0.026,0.18,0.144,-4.57,-0.295
chan_18_alpha0,0.558,0.33,1.692,0.093,0.18,0.144,-0.094,1.209
