grating_freq,blocks_prac.thisRepN,blocks_prac.thisTrialN,blocks_prac.thisN,blocks_prac.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,repeat_freq.thisRepN,repeat_freq.thisTrialN,repeat_freq.thisN,repeat_freq.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_loop.thisRepN,break_loop.thisTrialN,break_loop.thisN,break_loop.thisIndex,rest_loop.thisRepN,rest_loop.thisTrialN,rest_loop.thisN,rest_loop.thisIndex,instruct_prac_text.started,instruct_prac_text.stopped,b_instruct_text_2_.started,b_instruct_text_2_.stopped,prac_done_text.started,prac_done_text.stopped,instruct_text.started,instruct_text.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,blank.started,blank.stopped,resp.keys,resp.corr,resp.started,resp.stopped,direction,duration,trigger,stim_type,corr_ans,scaling,rest_text.started,rest_text.stopped,resp.rt,text_2.started,text_2.stopped,thx_txt.started,thx_txt.stopped,gender,age,participant,language,main_hand,nBlock_prac,file_suffix,date,expName,psychopyVersion,frameRate,
5,,,,,0,0,0,1,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,107.33460049983114,None,107.9180584999267,108.65154769993387,108.61823629983701,110.61879989993758,None,0,0.7264233899768442,2.7269238899461925,increament,0.72,16,oddball,j,120,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,110.63570689992048,None,111.38574099983089,111.9862108998932,111.96960189985111,113.97004269994795,None,1,0.6132187901530415,2.613630290143192,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,113.98661699984223,None,114.55402569985017,115.1540194998961,115.13763579982333,117.13810359989293,None,1,0.608861489687115,2.609333489788696,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,117.15504159987904,None,117.85510349995457,118.45509770000353,118.43878509989008,120.43982549989596,None,1,0.6108519900590181,2.611897289985791,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,120.45734339999035,None,121.13936959998682,122.10638969996944,122.07369059999473,124.07416209997609,None,0,0.9632415899541229,2.9636839900631458,increament,0.96,18,oddball,j,160,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,124.09071699995548,None,124.74131339997984,125.3411913998425,125.3247485999018,127.32480149995536,None,1,0.6108799900393933,2.6108778899069875,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,,127.34145499998704,None,128.0090276999399,128.60901159979403,128.5922138998285,130.5929429999087,None,1,0.6071928900200874,2.6079297899268568,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,,130.6098206997849,None,131.44348879996687,132.04386119986884,132.0272896999959,134.02789709996432,None,1,0.6123435900080949,2.6129340901970863,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,22,0,22,0,,,,,,,,,,,,,,,,,134.04452219977975,None,134.74473939999007,135.59537229989655,135.56201129988767,137.56242899992503,None,0,0.8464107899926603,2.8467232899274677,increament,0.84,17,oddball,j,140,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,23,0,23,0,,,,,,,,,,,,,,,,,137.57922309986316,None,138.36283979984,138.962652299786,138.9465366997756,140.9469366997946,None,1,0.611207690089941,2.6116473900619894,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,140.9637968998868,None,141.4970664998982,142.09746789978817,142.08070439985022,144.08175639994442,None,1,0.6146231901366264,2.615618290146813,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,144.09810989978723,None,144.76529929996468,145.3654358999338,145.34888579999097,147.34940700000152,None,1,0.609167689923197,2.609689089935273,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
5,,,,,0,0,0,1,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,147.36623089993373,None,147.93330229981802,148.53344079991803,148.51680429978296,150.51782359997742,None,1,0.6097832899540663,2.6108164901379496,increament,0.6,15,standard,None,100,,,,,,,,m,23,206,fr,r,0,raw,2022-05-18_14h58.06.087,oddball,2022.1.2,59.97303611313711,
