participant,type,HR,CR,d-prime
201,nonadapt,0.7833333333333333,0.9731481481481481,2.698577945235709
201,adapt,0.55,0.8157407407407408,1.0227317009771548
201,novel,0.7583333333333333,0.9222222222222223,2.1149426163088894
201,human,0.825,0.9731481481481481,2.849176339745431
202,nonadapt,0.7916666666666666,0.9157407407407407,2.1830458639263743
202,adapt,0.625,0.7342592592592593,0.9426491393479063
202,novel,0.775,0.924074074074074,2.1819902148604937
202,human,0.825,0.9342592592592592,2.435154063884236
203,nonadapt,0.6583333333333333,0.9074074074074074,1.7280824696428005
203,adapt,0.6,0.8722222222222222,1.3869172020483758
203,novel,0.6583333333333333,0.9018518518518519,1.6955241148561064
203,human,0.6583333333333333,0.9027777777777778,1.7008556399327737
204,nonadapt,0.6,0.9453703703703704,1.8477862359143153
204,adapt,0.5583333333333333,0.8805555555555555,1.321097749026278
204,novel,0.6,0.9425925925925925,1.8234644823762238
204,human,0.6,0.9416666666666667,1.8155600814792083
205,nonadapt,0.4166666666666667,0.9888888888888889,2.049477797407623
205,adapt,0.4166666666666667,0.975925925925926,1.7521894580171868
205,novel,0.4166666666666667,0.9824074074074074,1.8780078742681439
205,human,0.4166666666666667,0.9814814814814815,1.8579345750472673
206,nonadapt,0.575,0.9888888888888889,2.4483508449507094
206,adapt,0.5,0.9120370370370371,1.349124134561734
206,novel,0.575,0.987037037037037,2.392482474073868
206,human,0.575,0.9990740740740741,3.1077021857232454
207,nonadapt,0.5583333333333333,0.9740740740740741,2.0779325016803214
207,adapt,0.55,0.9583333333333334,1.8486168334469548
207,novel,0.5583333333333333,0.9685185185185186,1.9950540512461306
207,human,0.5583333333333333,0.9694444444444444,2.0080010049404775
208,nonadapt,0.6416666666666667,0.9555555555555556,2.0555521102791863
208,adapt,0.5833333333333334,0.9111111111111111,1.5534626157545277
208,novel,0.65,0.9638888888888889,2.172709100207328
208,human,0.6416666666666667,0.9629629629629629,2.1390038818877484
209,nonadapt,0.525,0.9712962962962963,1.9509761412099482
209,adapt,0.5,0.9296296296296296,1.4677562082428042
209,novel,0.525,0.9722222222222222,1.9649400766308969
209,human,0.525,0.9712962962962963,1.9509761412099482
210,nonadapt,0.6333333333333333,0.9166666666666666,1.718591694099912
210,adapt,0.6083333333333333,0.8333333333333334,1.2397126336798054
210,novel,0.6333333333333333,0.9064814814814814,1.6554632370686473
210,human,0.6333333333333333,0.9111111111111111,1.683495108096579
211,nonadapt,0.4,0.962037037037037,1.5126805333162792
211,adapt,0.4083333333333333,0.9518518518518518,1.424172600733506
211,novel,0.4,0.9537037037037037,1.4212269422221977
211,human,0.4,0.962037037037037,1.5126805333162792
212,nonadapt,0.575,0.9824074074074074,2.2768809218112303
212,adapt,0.48333333333333334,0.8731481481481481,1.0966995216873394
212,novel,0.575,0.9712962962962963,2.077173821643601
212,human,0.575,0.9796296296296296,2.21899376298246
213,nonadapt,0.5833333333333334,0.9824074074074074,2.298154000446402
213,adapt,0.5583333333333333,0.9259259259259259,1.5875667979172343
213,novel,0.5666666666666667,0.9518518518518518,1.823226261525766
